COUNTRY,CODE,CATEGORY,APP NAME,PLAY STORE LINK,APP STORE LINK
France,FR,Travel,City Mapper (local google map),https://play.google.com/store/search?q=citymapper%20france&c=apps&hl=en_IN,https://apps.apple.com/in/app/citymapper-your-transport-app/id469463298
France,FR,Travel,bonjour RATP (Transport app),https://play.google.com/store/search?q=bonjour%20RATP&c=apps&hl=en_IN,https://apps.apple.com/in/app/bonjour-ratp/id507107090
France,FR,Travel,SNFC connect,https://play.google.com/store/search?q=SNFC%20connect&c=apps&hl=en_IN,https://apps.apple.com/in/app/sncf-connect-trains-routes/id343889987
France,FR,Weather,Météo-France,https://play.google.com/store/search?q=meteo%20france&c=apps&hl=en_IN,https://apps.apple.com/in/app/meteo-by-ilmeteo-it/id338851554
France,FR,Weather,Weather Underground,https://play.google.com/store/search?q=weather+underground&c=apps&hl=en_IN,https://apps.apple.com/in/app/weather-underground-local-map/id486154808
France,FR,Medical,Doctolib,https://play.google.com/store/search?q=Doctolib&c=apps&hl=en_IN,https://apps.apple.com/in/app/doctolib-your-health-partner/id925339063
France,FR,Medical,Livi,https://play.google.com/store/apps/details?id=health.livi.android&hl=en_IN,https://apps.apple.com/in/app/livi-see-a-gp-by-video/id1433906974
France,FR,Medical,Qare,https://play.google.com/store/search?q=qare&c=apps&hl=en_IN,Qare Link on the App Store
France,FR,Food,Uber Eats France,https://play.google.com/store/search?q=uber%20eats&c=apps&hl=en_IN,https://apps.apple.com/in/app/uber-eats-food-groceries/id1058959277
France,FR,Food,Deliveroo France,https://play.google.com/store/search?q=deliveroo&c=apps&hl=en_IN,https://apps.apple.com/in/app/deliveroo-food-shopping/id1001501844
France,FR,Food,Flink / Getir,https://play.google.com/store/search?q=flink&c=apps&hl=en_IN,https://apps.apple.com/in/app/flink-groceries-in-minutes/id1531321108
France,FR,Communication,WhatsApp,https://play.google.com/store/search?q=whatsapp&c=apps&hl=en_IN,https://apps.apple.com/in/app/whatsapp-messenger/id310633997
